Ticker,Date,Variação_%,Tipo_Gap,Dia_Semana,Close,Volume
POMO4,2020-09-07,-2.21,Baixa,Segunda,15.74,129811
POMO4,2020-09-08,1.84,Alta,Terça,16.03,715221
POMO4,2020-09-09,2.45,Alta,Quarta,16.42,607001
POMO4,2020-09-10,-1.07,Baixa,Quinta,16.24,175441
POMO4,2020-09-11,2.88,Alta,Sexta,16.71,137606
POMO4,2020-09-12,-1.34,Baixa,Segunda,16.49,923675
POMO4,2020-09-13,2.88,Alta,Segunda,16.96,390153
POMO4,2020-09-14,-2.27,Baixa,Segunda,16.58,879989
POMO4,2020-09-15,-1.73,Baixa,Terça,16.29,636197
POMO4,2020-09-16,0.5,Sem Gap,Quarta,16.37,243372
POMO4,2020-09-17,-0.57,Sem Gap,Quinta,16.28,135022
POMO4,2020-09-18,1.7,Alta,Sexta,16.56,881116
POMO4,2020-09-19,3.2,Alta,Segunda,17.08,653579
POMO4,2020-09-20,-1.51,Baixa,Segunda,16.83,364946
POMO4,2020-09-21,-7.16,Baixa,Segunda,15.62,609906
POMO4,2020-09-22,-1.72,Baixa,Terça,15.35,793650
POMO4,2020-09-23,-0.63,Sem Gap,Quarta,15.26,231058
POMO4,2020-09-24,0.28,Sem Gap,Quinta,15.3,694305
POMO4,2020-09-25,1.4,Alta,Sexta,15.51,770825
POMO4,2020-09-26,-1.23,Baixa,Segunda,15.32,357552
POMO4,2020-09-27,0.43,Sem Gap,Segunda,15.39,977570
POMO4,2020-09-28,0.93,Sem Gap,Segunda,15.53,841052
POMO4,2020-09-29,-1.37,Baixa,Terça,15.32,268347
POMO4,2020-09-30,-0.23,Sem Gap,Quarta,15.28,777921
POMO4,2020-10-01,-2.92,Baixa,Quinta,14.84,721634
POMO4,2020-10-02,-4.2,Baixa,Sexta,14.22,613187
POMO4,2020-10-03,0.48,Sem Gap,Segunda,14.28,870877
POMO4,2020-10-04,1.28,Alta,Segunda,14.47,405174
POMO4,2020-10-05,2.24,Alta,Segunda,14.79,984639
POMO4,2020-10-06,0.23,Sem Gap,Terça,14.82,739288
POMO4,2020-10-07,1.03,Alta,Quarta,14.98,578110
POMO4,2020-10-08,-2.64,Baixa,Quinta,14.58,669915
POMO4,2020-10-09,-4.74,Baixa,Sexta,13.89,220709
POMO4,2020-10-10,-0.9,Sem Gap,Segunda,13.77,225588
POMO4,2020-10-11,-0.59,Sem Gap,Segunda,13.68,264925
